gamma0,f_numerical,tau_c
0.005,0.12361901167,11.305315794
0.01,0.17387613104,8.1370902822
0.02,0.2465622,6.075482
0.03,0.29808206783,4.9172430951
0.05,0.38939318979,3.9672899396
0.07,0.45087494282,3.3036401579
0.1,0.54167293359,2.8635115487
0.2,0.75519529995,2.0642172695
0.3,0.91950609858,1.7035853254
0.5,1.1639842116,1.3530189649
0.7,1.3604803661,1.1574922625
1.0,1.5944649568,0.99486714004
1.5,1.8963678801,0.84145454278
2.0,2.1433250958,0.74831096083
3.0,2.5127471599,0.64646795547
4.0,2.8062048192,0.58093819788
5.0,3.0373567599,0.53903640295
7.0,3.3693429,0.49526535596
10.0,3.716437352,0.45346148108
15.0,4.0777227262,0.41554990463
20.0,4.2788582702,0.4028910177
30.0,4.5127115339,0.39107824078
50.0,4.7204172619,0.38052527586
100.0,4.9172825223,0.36569001059
